Date,Close
2/1/2018 16:00:00,32.5
2/2/2018 16:00:00,31.95
2/5/2018 16:00:00,30.26
2/6/2018 16:00:00,31.2
2/7/2018 16:00:00,31.25
2/8/2018 16:00:00,29.74
2/9/2018 16:00:00,30.33
2/12/2018 16:00:00,31.12
2/13/2018 16:00:00,31.18
2/14/2018 16:00:00,32
2/15/2018 16:00:00,32.21
2/16/2018 16:00:00,31.97
2/20/2018 16:00:00,31.93
2/21/2018 16:00:00,31.87
2/22/2018 16:00:00,31.69
2/23/2018 16:00:00,32.03
2/26/2018 16:00:00,32.42
2/27/2018 16:00:00,32.33
2/28/2018 16:00:00,32.1
3/1/2018 16:00:00,31.48
3/2/2018 16:00:00,31.63
3/5/2018 16:00:00,32.13
3/6/2018 16:00:00,32.11
3/7/2018 16:00:00,32.18
3/8/2018 16:00:00,32.2
3/9/2018 16:00:00,32.72
3/12/2018 16:00:00,32.84
3/13/2018 16:00:00,32.36
3/14/2018 16:00:00,32.14
3/15/2018 16:00:00,32.1
3/16/2018 16:00:00,32.17
3/19/2018 16:00:00,31.98
3/20/2018 16:00:00,31.98
3/21/2018 16:00:00,31.87
3/22/2018 16:00:00,30.55
3/23/2018 16:00:00,29.17
3/26/2018 16:00:00,30.44
3/27/2018 16:00:00,29.52
3/28/2018 16:00:00,29.39
3/29/2018 16:00:00,29.99
4/2/2018 16:00:00,29.31
4/3/2018 16:00:00,29.59
4/4/2018 16:00:00,29.88
4/5/2018 16:00:00,30.32
4/6/2018 16:00:00,29.63
4/9/2018 16:00:00,29.87
4/10/2018 16:00:00,30.48
4/11/2018 16:00:00,29.9
4/12/2018 16:00:00,30.65
4/13/2018 16:00:00,29.8
4/16/2018 16:00:00,29.93
4/17/2018 16:00:00,30.04
4/18/2018 16:00:00,29.53
4/19/2018 16:00:00,30.18
4/20/2018 16:00:00,30.26
4/23/2018 16:00:00,30.32
4/24/2018 16:00:00,30.19
4/25/2018 16:00:00,30.14
4/26/2018 16:00:00,30.07
4/27/2018 16:00:00,30.15
4/30/2018 16:00:00,29.92
5/1/2018 16:00:00,29.95
5/2/2018 16:00:00,29.58
5/3/2018 16:00:00,29.2
5/4/2018 16:00:00,29.3
5/7/2018 16:00:00,29.64
5/8/2018 16:00:00,29.93
5/9/2018 16:00:00,30.72
5/10/2018 16:00:00,30.89
5/11/2018 16:00:00,30.92
5/14/2018 16:00:00,31.12
5/15/2018 16:00:00,31.22
5/16/2018 16:00:00,31.06
5/17/2018 16:00:00,30.81
5/18/2018 16:00:00,30.81
5/21/2018 16:00:00,30.55
5/22/2018 16:00:00,30.89
5/23/2018 16:00:00,30.44
5/24/2018 16:00:00,30.21
5/25/2018 16:00:00,30.16
5/29/2018 16:00:00,28.96
5/30/2018 16:00:00,29.49
5/31/2018 16:00:00,29.37
6/1/2018 16:00:00,29.4
6/4/2018 16:00:00,29.4
6/5/2018 16:00:00,29.12
6/6/2018 16:00:00,30.04
6/7/2018 16:00:00,30.09
6/8/2018 16:00:00,30.01
6/11/2018 16:00:00,30.06
6/12/2018 16:00:00,29.9
6/13/2018 16:00:00,29.84
6/14/2018 16:00:00,29.5
6/15/2018 16:00:00,29.28
6/18/2018 16:00:00,29.4
6/19/2018 16:00:00,29.26
6/20/2018 16:00:00,29.24
6/21/2018 16:00:00,29.29
6/22/2018 16:00:00,28.99
6/25/2018 16:00:00,28.48
6/26/2018 16:00:00,28.54
6/27/2018 16:00:00,28.24
6/28/2018 16:00:00,28.67
6/29/2018 16:00:00,28.19
7/2/2018 16:00:00,28.28
7/3/2018 13:00:00,27.78
7/5/2018 16:00:00,27.92
7/6/2018 16:00:00,28.03
7/9/2018 16:00:00,29.05
7/10/2018 16:00:00,28.83
7/11/2018 16:00:00,28.68
7/12/2018 16:00:00,28.77
7/13/2018 16:00:00,28.55
7/16/2018 16:00:00,29.78
7/17/2018 16:00:00,30.01
7/18/2018 16:00:00,30.13
7/19/2018 16:00:00,29.67
7/20/2018 16:00:00,30.13
7/23/2018 16:00:00,30.75
7/24/2018 16:00:00,30.83
7/25/2018 16:00:00,31.07
7/26/2018 16:00:00,30.94
7/27/2018 16:00:00,31.06
7/30/2018 16:00:00,31.31
7/31/2018 16:00:00,30.88
8/1/2018 16:00:00,31.25
8/2/2018 16:00:00,31.28
8/3/2018 16:00:00,31.51
8/6/2018 16:00:00,31.52
8/7/2018 16:00:00,31.51
8/8/2018 16:00:00,31.8
8/9/2018 16:00:00,31.6
8/10/2018 16:00:00,31.19
8/13/2018 16:00:00,30.48
8/14/2018 16:00:00,30.79
8/15/2018 16:00:00,30.36
8/16/2018 16:00:00,30.72
8/17/2018 16:00:00,30.74
8/20/2018 16:00:00,30.87
8/21/2018 16:00:00,31.02
8/22/2018 16:00:00,30.98
8/23/2018 16:00:00,30.84
8/24/2018 16:00:00,30.89
8/27/2018 16:00:00,31.31
8/28/2018 16:00:00,31.27
8/29/2018 16:00:00,31.14
8/30/2018 16:00:00,31.01
8/31/2018 16:00:00,30.93
9/4/2018 16:00:00,31.14
9/5/2018 16:00:00,31.18
9/6/2018 16:00:00,30.85
9/7/2018 16:00:00,30.86
9/10/2018 16:00:00,30.82
9/11/2018 16:00:00,30.85
9/12/2018 16:00:00,30.43
9/13/2018 16:00:00,30.14
9/14/2018 16:00:00,30.37
9/17/2018 16:00:00,30.28
9/18/2018 16:00:00,30.21
9/19/2018 16:00:00,31
9/20/2018 16:00:00,31.19
9/21/2018 16:00:00,31.03
9/24/2018 16:00:00,30.74
9/25/2018 16:00:00,30.67
9/26/2018 16:00:00,30.13
9/27/2018 16:00:00,29.94
9/28/2018 16:00:00,29.46
10/1/2018 16:00:00,29.65
10/2/2018 16:00:00,29.58
10/3/2018 16:00:00,30
10/4/2018 16:00:00,30.43
10/5/2018 16:00:00,30.23
10/8/2018 16:00:00,30.27
10/9/2018 16:00:00,29.98
10/10/2018 16:00:00,29.24
10/11/2018 16:00:00,28.36
10/12/2018 16:00:00,28.46
10/15/2018 16:00:00,27.92
10/16/2018 16:00:00,28.53
10/17/2018 16:00:00,28.9
10/18/2018 16:00:00,28.25
10/19/2018 16:00:00,28.32
10/22/2018 16:00:00,27.38
10/23/2018 16:00:00,27.02
10/24/2018 16:00:00,26.19
10/25/2018 16:00:00,26.59
10/26/2018 16:00:00,26.39
10/29/2018 16:00:00,26.61
10/30/2018 16:00:00,26.78
10/31/2018 16:00:00,27.5
11/1/2018 16:00:00,27.81
11/2/2018 16:00:00,27.89
11/5/2018 16:00:00,28.06
11/6/2018 16:00:00,28.21
11/7/2018 16:00:00,28.54
11/8/2018 16:00:00,28.87
11/9/2018 16:00:00,28.52
11/12/2018 16:00:00,27.75
11/13/2018 16:00:00,27.76
11/14/2018 16:00:00,27.21
11/15/2018 16:00:00,27.9
11/16/2018 16:00:00,27.75
11/19/2018 16:00:00,27.75
11/20/2018 16:00:00,27.38
11/21/2018 16:00:00,27.27
11/23/2018 13:00:00,26.97
11/26/2018 16:00:00,27.56
11/27/2018 16:00:00,27.74
11/28/2018 16:00:00,28.43
11/29/2018 16:00:00,28.04
11/30/2018 16:00:00,28.4
12/3/2018 16:00:00,28.54
12/4/2018 16:00:00,26.99
12/6/2018 16:00:00,26.28
12/7/2018 16:00:00,25.43
12/10/2018 16:00:00,24.76
12/11/2018 16:00:00,24.58
12/12/2018 16:00:00,24.52
12/13/2018 16:00:00,24.4
12/14/2018 16:00:00,24.48
12/17/2018 16:00:00,24.47
12/18/2018 16:00:00,24.47
12/19/2018 16:00:00,24.18
12/20/2018 16:00:00,24.11
12/21/2018 16:00:00,23.37
12/24/2018 13:00:00,22.73
12/26/2018 16:00:00,24.11
12/27/2018 16:00:00,24.37
12/28/2018 16:00:00,24.39
12/31/2018 16:00:00,24.64
1/2/2019 16:00:00,24.96
1/3/2019 16:00:00,24.56
1/4/2019 16:00:00,25.58
1/7/2019 16:00:00,25.56
1/8/2019 16:00:00,25.51
1/9/2019 16:00:00,25.76
1/10/2019 16:00:00,25.73
1/11/2019 16:00:00,26.03
1/14/2019 16:00:00,26.37
1/15/2019 16:00:00,26.55
1/16/2019 16:00:00,28.45
1/17/2019 16:00:00,28.99
1/18/2019 16:00:00,29.3
1/22/2019 16:00:00,29.09
1/23/2019 16:00:00,28.92
1/24/2019 16:00:00,29.08
1/25/2019 16:00:00,29.58
1/28/2019 16:00:00,29.63
1/29/2019 16:00:00,29.39
1/30/2019 16:00:00,29.07
1/31/2019 16:00:00,28.47
2/1/2019 16:00:00,28.38
2/4/2019 16:00:00,28.88
2/5/2019 16:00:00,28.78
2/6/2019 16:00:00,28.73
2/7/2019 16:00:00,28.24
2/8/2019 16:00:00,28.29
2/11/2019 16:00:00,28.41
2/12/2019 16:00:00,28.69
2/13/2019 16:00:00,28.7
2/14/2019 16:00:00,28.39
2/15/2019 16:00:00,29.11
2/19/2019 16:00:00,29.13
2/20/2019 16:00:00,29.41
2/21/2019 16:00:00,29.29
2/22/2019 16:00:00,29.08
2/25/2019 16:00:00,29.27
2/26/2019 16:00:00,29.29
2/27/2019 16:00:00,29.53
2/28/2019 16:00:00,29.08
3/1/2019 16:00:00,29.31
3/4/2019 16:00:00,29.03
3/5/2019 16:00:00,29.08
3/6/2019 16:00:00,28.84
3/7/2019 16:00:00,28.55
3/8/2019 16:00:00,28.65
3/11/2019 16:00:00,28.94
3/12/2019 16:00:00,28.94
3/13/2019 16:00:00,29.29
3/14/2019 16:00:00,29.46
3/15/2019 16:00:00,29.3
3/18/2019 16:00:00,29.82
3/19/2019 16:00:00,29.65
3/20/2019 16:00:00,28.64
3/21/2019 16:00:00,28.18
3/22/2019 16:00:00,27.01
3/25/2019 16:00:00,26.84
3/26/2019 16:00:00,27.21
3/27/2019 16:00:00,27.03
3/28/2019 16:00:00,27.33
